date,v,ma,std,zscore,pos
"2025-05-13, 18:00:00",1621679.67013728,1499890.5941196484,33370.452002826125,3.649608222487283,1
"2025-05-13, 19:00:00",1621741.86680076,1500451.0997261577,34315.79918631677,3.53454589287159,1
"2025-05-13, 20:00:00",1621613.71327913,1501011.338671483,35224.85580799947,3.4237861828311122,1
"2025-05-13, 21:00:00",1621709.84855278,1501571.7697799557,36103.753146596784,3.327578667099011,1
"2025-05-13, 22:00:00",1621331.65809764,1502130.7502474904,36947.85897475114,3.2261925631903927,1
"2025-05-13, 23:00:00",1621288.48305236,1502689.6838586926,37764.16888136616,3.1405113022939326,1
"2025-05-14, 00:00:00",1621125.93370406,1503247.6697054787,38552.973596545016,3.057566070834681,1
"2025-05-14, 01:00:00",1621215.38183503,1503806.5581254275,39319.01492539721,2.9860571006768772,1
"2025-05-14, 02:00:00",1621337.91388275,1504366.2484725523,40064.055413449154,2.9196162046773586,1
"2025-05-14, 03:00:00",1621382.72655736,1504926.458296396,40788.23157857121,2.8551438430624736,1
"2025-05-14, 04:00:00",1621516.34791044,1505487.2440239936,41493.8012742795,2.796299695934792,1
"2025-05-14, 05:00:00",1621481.51657425,1506047.8105490836,42179.69324484843,2.736712791036355,1
"2025-05-14, 06:00:00",1621531.05966509,1506608.6340230624,42847.806822949715,2.6821075374264876,1
"2025-05-14, 07:00:00",1621468.16076582,1507169.4389972328,43497.59195057656,2.627702285185286,1
"2025-05-14, 08:00:00",1621525.96112566,1507730.5517836155,44131.28225062792,2.5785656690368515,1
"2025-05-14, 09:00:00",1621437.4330609,1508291.6099875094,44747.840535051604,2.528520297750725,1
"2025-05-14, 10:00:00",1621398.70081897,1508852.5849152491,45348.59736455672,2.481799271518022,1
"2025-05-14, 11:00:00",1619119.50475041,1509403.7629260882,45910.671851243365,2.3897655468823324,1
"2025-05-14, 12:00:00",1619277.33986336,1509955.6176198174,46460.99691967606,2.3529784010563324,1
"2025-05-14, 13:00:00",1619157.10234227,1510507.1313644166,46997.090634348766,2.3118446165781275,1
"2025-05-14, 14:00:00",1618737.65079947,1511056.9133211786,47516.53465559169,2.266174043599361,1
"2025-05-14, 15:00:00",1617694.98160743,1511599.7183792926,48014.98419808042,2.209628202530552,1
